Cinema ID: 24193, Name: 万达影城  （綦江万达广场IMAX店）, Address: 綦江区滨河大道27号万达广场(綦江店)F4层, BrandName: 万达影城
Cinema ID: 15511, Name: 博纳国际影城（大坪协信星光天地店）, Address: 渝中区经纬大道虎头岩总部城协信星光天地4F, BrandName: 博纳国际影城
Cinema ID: 38455, Name: 博纳国际影城（高新天街店）, Address: 沙坪坝区西双大道32号龙湖高新天街A馆6楼, BrandName: 博纳国际影城
Cinema ID: 13726, Name: 嘉裕国际影城（双龙店）, Address: 渝北区双湖路1号水木天地1栋4楼, BrandName: 嘉裕国际影城
Cinema ID: 14985, Name: 嘉裕国际影城（沙坪坝店）, Address: 沙坪坝区小龙坎新街40号沙龙广场3楼（小龙坎地铁站1号出口前行100米）, BrandName: 嘉裕国际影城
Cinema ID: 17404, Name: 嘉裕国际影城（华岩店）, Address: 九龙坡区华岩镇福园路88号美华星都12幢第四层, BrandName: 嘉裕国际影城
Cinema ID: 36288, Name: 苏宁影城（观音桥店）, Address: 江北区观音桥街道观音桥步行街9号苏宁易购7楼, BrandName: 苏宁影城
Cinema ID: 35832, Name: 重庆苏宁影城（金渝店）, Address: 渝北区两江新区汇流路1号苏宁易购美联广场4楼, BrandName: 苏宁影城
Cinema ID: 36798, Name: 中视国际影城IMAX（红旗河沟店）, Address: 江北区红旗河沟龙湖新壹街C馆UG层, BrandName: 中视国际影城
Cinema ID: 28518, Name: 中视国际影城【巨幕】（潼南店）, Address: 潼南区大佛街道子同街商业街3楼, BrandName: 中视国际影城
Cinema ID: 26929, Name: 中影国际影城（潼南店）, Address: 潼南区正兴街御景江山售楼部三楼, BrandName: 中影国际影城
Cinema ID: 749, Name: 中影国际影城（九龙坡印象汇店）, Address: 九龙坡区九龙街道西郊三村2号印象汇4楼（动物园大门对面）, BrandName: 中影国际影城
Cinema ID: 24601, Name: 德纳国际影城（重庆巴南店）, Address: 巴南区鱼洞街道鱼轻路鲁能南渝秀街六楼电影院, BrandName: 红星电影世界
Cinema ID: 24366, Name: 德纳国际影城（重庆綦江店）, Address: 綦江区通惠大道爱琴海购物公园3楼, BrandName: 红星电影世界
Cinema ID: 726, Name: 橙天嘉禾影城（壹街店）, Address: 大渡口区新山村街道文体路88号壹街购物中心A区2楼(区政府、大渡口公园旁), BrandName: 橙天嘉禾影城
Cinema ID: 5135, Name: 橙天嘉禾影城（日月光店）, Address: 渝中区南纪门街道民权路89号日月光中心广场6层L6001室, BrandName: 橙天嘉禾影城
Cinema ID: 737, Name: 华谊兄弟影院（南坪店）, Address: 南岸区铜元局街道南坪西路38号百联南岸上海城购物中心F5层, BrandName: 华谊兄弟
Cinema ID: 2025, Name: 华谊兄弟影院（袁家岗店）, Address: 九龙坡区袁家岗奥体路1号中新城上城3楼, BrandName: 华谊兄弟
Cinema ID: 37607, Name: 百丽宫影城（Dolby Cinema光环店）, Address: 渝北区湖彩路118号光环购物公园商场-L5-40, BrandName: 百丽宫影城
Cinema ID: 11655, Name: 百丽宫影城（IMAX万象城店）, Address: 九龙坡区谢家湾正街55号万象城F5层, BrandName: 百丽宫影城
Cinema ID: 16422, Name: 越界影城（沙坪坝店）, Address: 沙坪坝区沙坪坝正街8号附10号欣阳广场4楼（越界影城沙坪坝店）, BrandName: 越界国际影城
Cinema ID: 27188, Name: 越界影城（石桥铺仁悦天地店）, Address: 九龙坡区石桥铺仁悦天地商场5楼, BrandName: 越界国际影城
Cinema ID: 36907, Name: 万象影城（重庆大渡口万象汇杜比巨幕店）, Address: 大渡口区文体路99号万象汇商场L5万象影城, BrandName: 万象影城
Cinema ID: 39383, Name: 世纪影城（巫溪店）, Address: 巫溪县柏杨北路92号新世纪百货三楼外租31号商铺, BrandName: 世纪影城
Cinema ID: 38207, Name: 幸福蓝海国际影城（重庆桃源居LUXE巨幕店）, Address: 渝北区桃源大道66号桃源天地购物中心5楼, BrandName: 幸福蓝海国际影城
Cinema ID: 16457, Name: 红星太平洋影城（重庆渝北LUXE巨幕店）, Address: 渝北区金山街道北部新区金开大道1003号爱琴海购物公园5F, BrandName: 红星太平洋电影城
Cinema ID: 26118, Name: 白沙时代影城（巨幕店）, Address: 江津区白沙镇白沙工业园区工商路199号3幢2—1白沙时代影城, BrandName: 时代影城
Cinema ID: 25986, Name: 华夏星光影城（双碑店）, Address: 沙坪坝区井口街道嘉陵街双碑浪升双城天街5层, BrandName: 星光影城
Cinema ID: 9835, Name: ACTO梦空间影城（雅图南坪店）, Address: 南岸区铜元局街道南坪步行街亿象城负一层C区(近万达广场坪百盛旁), BrandName: ACTO梦空间影城
Cinema ID: 37444, Name: 星轶STARX影城（吾悦广场旗舰店）, Address: 渝北区仙桃街道同茂大道369号新城吾悦广场B馆6层, BrandName: 星轶starx影城
Cinema ID: 15988, Name: 嘉凯影城（重庆金碧天下中国巨幕店）, Address: 江津区双福街道南北大道北段388号恒大金碧天下644幢3-4层, BrandName: 恒大嘉凯影城
Cinema ID: 24305, Name: 德信影城（时光城店）, Address: 渝北区龙山街道时光城四楼(sm广场斜对面), BrandName: 德信影城
Cinema ID: 11027, Name: 自由人影城（重庆阳光世纪店）, Address: 江北区观音桥阳光世纪购物中心L7层, BrandName: 自由人影城
Cinema ID: 36921, Name: 中影嘉莱国际影城（中渝广场店）, Address: 渝北区新溉大道恒大中渝广场5楼501, BrandName: 中影嘉莱国际影城
Cinema ID: 15046, Name: 喜满客影城（双城天街店）, Address: 沙坪坝区双碑浪升双城天街5楼(双碑轻轨站旁), BrandName: 喜满客影城
Cinema ID: 36975, Name: 魔影国际影城（巴南店）, Address: 巴南区商社汇巴南购物中心5楼, BrandName: 魔影国际影城
Cinema ID: 25015, Name: 奥斯卡国际影城（黔江店）, Address: 黔江区城东街道解放路大十字购物广场2期5楼01号, BrandName: 奥斯卡国际影城
Cinema ID: 36458, Name: 银兴国际影城（三峡广场店）, Address: 沙坪坝区三峡广场拉摩国际中心(老新世纪楼上), BrandName: 银兴国际影城
Cinema ID: 28487, Name: 泰禾影城（陈家坪店）, Address: 九龙坡区石杨路43号1栋4-5号水獭云选广场4楼, BrandName: 泰禾影城
